window_id,cost,migrations,attacker_count,cohabitation_time_cumulative,cohabitation_malicious_vm_count,server_total_risk,vm_average_risk,cpu_utilization_avg,memory_utilization_avg,migrations_cumulative,active_servers_count,cpu_utilization_instant,memory_utilization_instant,cluster_risk,power_consumption,migration_cost,resource_contention
0,108956.6470062085,5,48,146,48,146.0,0.5315856193502175,59.71600000000001,272.38488888888884,5,18,59.71600000000001,272.38488888888884,0.0,360000.0,5244.610000000001,2160.9300310425106
1,104321.41319090546,5,48,312,48,312.0,0.4967011242142967,63.26788235294119,280.39426797385624,10,17,66.81976470588238,288.4036470588236,2856.0,340000.0,5238.808000000001,3275.6619545272943
2,105058.20298833548,5,48,419,48,311.0,0.5037967266743973,66.6472549019608,283.02315904139436,15,17,73.406,288.28094117647055,4448.0,340000.0,5257.8,3766.1149416774115
3,105881.56413103275,3,48,514,48,361.0,0.5157951792025127,65.35229411764708,284.33428104575165,18,17,61.46741176470588,288.2676470588235,6868.0,340000.0,3155.088,4094.2766551637656
4,106802.22168531596,5,48,610,48,405.0,0.5239812971160065,65.17418823529412,285.1200836601307,23,17,64.46176470588236,288.2632941176471,9617.0,340000.0,2103.3019999999997,3982.160197719765
5,107331.09754382884,5,49,702,49,418.0,0.5109105610685435,66.68405882352943,285.64718736383446,28,17,74.2334117647059,288.28270588235296,9708.0,340000.0,5248.524,4615.225719144236
6,102685.89216047795,5,49,781,35,432.0,0.5028107698553125,69.87306827731094,288.6003927404295,33,16,89.007125,306.319625,12817.0,320000.0,5238.614,5176.153802389732
7,102865.41332771712,5,49,845,30,444.0,0.5042430531536728,71.36587224264707,290.8129061478758,38,16,81.81550000000003,306.3005,13230.0,320000.0,5259.0,5237.566638585598
8,102000.80922269434,5,49,909,30,388.0,0.5076907728835685,71.67112254901961,292.53219435366736,43,16,74.11312500000001,306.28649999999993,10808.0,320000.0,5258.802000000001,5758.6451134717345
9,98827.0654323852,3,49,973,30,452.0,0.5157944839406219,73.46362362745099,295.950508251634,46,15,89.59613333333333,326.7153333333334,17336.0,300000.0,3139.5,7893.577161926098
10,96636.87808630842,3,49,1037,30,516.0,0.5102306997811771,75.56277472625415,300.86729321577116,49,14,96.55428571428571,350.0351428571429,25896.0,280000.0,3151.416,9816.682431542153
11,94994.20805183754,5,49,1091,30,516.0,0.5102506102754946,77.84046016573296,304.96468544779026,54,14,102.895,350.036,22988.0,280000.0,5248.8,6370.640259187693
12,94366.67757435598,5,49,1147,30,416.0,0.5073136122840913,78.82495224089637,308.43034700675145,59,14,90.63885714285713,350.01828571428575,20934.0,280000.0,5241.6,7344.587871779869
13,86826.09400012612,4,49,1203,30,472.0,0.5065712833503022,80.98481279511806,315.56757222055495,63,12,109.063,408.3515,30520.0,240000.0,4192.332,10994.304000630545
14,85972.75432325412,5,49,1259,30,528.0,0.5165746623414577,83.28816466938292,324.2292613452452,68,11,115.53509090909091,445.4929090909091,42134.0,220000.0,5230.92,12980.311616270546
15,91636.10783012235,0,49,1315,30,584.0,0.48594876467911313,84.85504074118286,331.81017114753104,68,11,108.35818181818185,445.5238181818182,55776.0,220000.0,0.0,16628.53915061178
16,90864.50999470502,2,49,1363,30,553.0,0.4995872092750295,85.24865599170151,336.3135238251273,70,12,91.5465,408.3671666666667,71446.0,220000.0,0.0,12324.750350793312
17,88680.26587524329,1,50,1410,31,600.0,0.5256860287684691,86.88218520428376,342.37937856211516,71,11,114.65218181818182,445.49890909090914,50391.0,220000.0,1044.6,12097.029376216438
18,90931.27610282891,3,50,1468,31,646.0,0.5131885906685536,87.81929507391476,347.8067988291809,74,11,104.68727272727273,445.5003636363636,60882.0,220000.0,0.0,10905.613480224583
