window_id,cost,migrations,attacker_count,cohabitation_time_cumulative,cohabitation_malicious_vm_count,server_total_risk,vm_average_risk,cpu_utilization_avg,memory_utilization_avg,migrations_cumulative,active_servers_count,cpu_utilization_instant,memory_utilization_instant,cluster_risk,power_consumption,migration_cost,resource_contention
0,6.100281729829671,0,43,124,43,124.0,0.00248,50.8166,232.5964,0,20,50.8166,232.5964,0.248,20.0,0.0,0.005408649148358917
1,6.199738917702643,0,43,248,43,248.0,0.00496,51.394850000000005,232.5935,0,20,51.9731,232.5906,0.496,20.0,0.0,0.00669458851321089
2,6.3119323089051,3,43,369,43,349.0,0.006979999999999999,53.95996666666667,232.55696666666665,3,20,59.090199999999996,232.48389999999995,0.698,20.0,0.31386,0.006731544525497169
3,6.3772536406296085,0,43,490,43,470.0,0.009399999999999999,52.625575000000005,232.53665,3,20,48.6224,232.47570000000002,0.94,20.0,0.0,0.006268203148041757
4,6.473853632501993,0,43,611,43,591.0,0.011819999999999999,51.794560000000004,232.52249999999998,3,20,48.4705,232.46589999999998,1.182,20.0,0.0,0.005268162509962809
5,6.5706078834057635,0,43,732,43,712.0,0.01424,52.427416666666666,232.51549999999997,3,20,55.5917,232.48049999999995,1.424,20.0,0.0,0.005039417028815151
6,6.6672908901701975,0,43,853,43,833.0,0.016659999999999998,53.87455714285715,232.5133,3,20,62.55740000000001,232.50009999999997,1.666,20.0,0.0,0.00445445085098547
7,6.772300027474167,4,43,980,39,911.0,0.01822,54.5168875,232.50968749999998,7,20,59.0132,232.48439999999997,1.822,20.0,0.42058999999999996,0.00720513737083845
8,6.8316927953307465,0,43,1107,39,1038.0,0.02076,54.324022222222226,232.50518888888888,7,20,52.7811,232.4692,2.076,20.0,0.0,0.006463976653730262
9,6.933297320838172,0,43,1234,39,1165.0,0.0233,54.74389,232.50227,7,20,58.52270000000001,232.47599999999997,2.33,20.0,0.0,0.006486604190855994
10,7.035270803809697,0,43,1361,39,1292.0,0.025840000000000002,55.39619090909091,232.49925454545453,7,20,61.91920000000001,232.46909999999997,2.584,20.0,0.0,0.008354019048483277
11,7.051756993861214,4,43,1481,39,1261.0,0.02522,55.919983333333334,232.4964583333333,11,20,61.6817,232.46569999999997,2.522,20.0,0.41914,0.005214969306069535
12,7.105915630724697,0,43,1601,39,1381.0,0.02762,55.877692307692314,232.4930846153846,11,20,55.37020000000001,232.45260000000002,2.762,20.0,0.0,0.005578153623486477
13,7.201974291926674,0,43,1721,39,1501.0,0.030019999999999998,56.13617142857144,232.49007142857138,11,20,59.496400000000015,232.45089999999996,3.002,20.0,0.0,0.005871459633368512
14,7.275513666281762,3,43,1840,39,1554.0,0.03108,56.50452,232.48832666666664,14,20,61.661400000000015,232.46389999999997,3.108,20.0,0.31393,0.004603331408814419
15,7.339575517030991,0,43,1959,39,1673.0,0.033460000000000004,56.68303125,232.48799999999997,14,20,59.360699999999994,232.48309999999998,3.346,20.0,0.0,0.00587758515495623
16,7.434402373961413,0,43,2078,39,1792.0,0.035840000000000004,56.3645,232.4866647058823,14,20,51.267999999999994,232.4653,3.584,20.0,0.0,0.004011869807066612
17,7.458433195742394,5,43,2196,39,1756.0,0.03512,56.479822222222225,232.48570555555554,19,20,58.4403,232.4694,3.512,20.0,0.52508,0.00562597871197332
18,7.50025766840665,0,43,2314,39,1874.0,0.03748,56.50175789473684,232.48488947368418,19,20,56.89659999999999,232.47019999999998,3.748,20.0,0.0,0.0052883420332532904
19,7.55035365502671,4,43,2432,40,1884.0,0.03768,56.790565,232.48480999999998,23,20,62.27790000000001,232.48329999999996,3.768,20.0,0.41881999999999997,0.006358275133546142
20,7.6028629000647525,0,43,2550,40,2002.0,0.04003999999999999,56.896742857142854,232.4848476190476,23,20,59.0203,232.48559999999998,4.004,20.0,0.0,0.006314500323766082
21,7.660250708625474,1,43,2670,40,2061.0,0.04122,57.01510454545455,232.48452727272723,24,20,59.50070000000001,232.47780000000003,4.122,20.0,0.10522000000000001,0.004643543127373903
22,7.734666786265037,1,43,2790,38,2154.0,0.04308,56.88132608695653,232.48433913043473,25,20,53.938199999999995,232.48019999999997,4.308,20.0,0.1048508,0.004908531325184576
23,7.564490378677601,5,43,2907,42,1889.0,0.03778,56.967741666666676,232.48475416666665,30,20,58.95529999999999,232.49429999999998,3.778,20.0,0.5248309999999999,0.004036393388003015
24,7.6056286734234595,0,43,3024,42,2006.0,0.040119999999999996,57.06526000000001,232.48501999999996,30,20,59.40569999999999,232.49139999999997,4.012,20.0,0.0,0.004143367117298609
25,7.699582127256713,0,43,3141,42,2123.0,0.042460000000000005,57.032357692307706,232.48493076923071,30,20,56.209799999999994,232.48269999999997,4.246,20.0,0.0,0.005910636283562227
26,7.793099650093687,0,43,3258,42,2240.0,0.044800000000000006,57.55940740740742,232.4851259259259,30,20,71.26270000000001,232.49019999999996,4.48,20.0,0.0,0.005498250468437499
27,7.886478751649525,0,43,3375,42,2357.0,0.04714,57.6311142857143,232.4857607142857,30,20,59.56719999999999,232.5029,4.714,20.0,0.0,0.0043937582476243605
28,7.9539511741335645,2,43,3494,42,2415.0,0.0483,57.184065517241386,232.48605517241378,32,20,44.66669999999999,232.49429999999998,4.83,20.0,0.2091704,0.005170670667820267
29,8.028160790601897,0,43,3613,42,2534.0,0.050679999999999996,57.39119000000001,232.48688666666663,32,20,63.3978,232.51099999999997,5.068,20.0,0.0,0.0048039530094762415
30,8.123359728281661,0,43,3732,42,2653.0,0.05306,57.591529032258066,232.48668709677418,32,20,63.601699999999994,232.48069999999998,5.306,20.0,0.0,0.0047986414083063785
31,8.218605892992935,0,43,3851,42,2772.0,0.055439999999999996,57.871437500000006,232.486378125,32,20,66.5486,232.4768,5.544,20.0,0.0,0.005029464964673245
32,8.214195655173913,4,43,3973,40,2714.0,0.05428,57.455390909090916,232.48624545454544,36,20,44.14190000000001,232.48199999999997,5.428,20.0,0.42077,0.004593275869560672
33,8.269933552437452,0,43,4095,40,2836.0,0.05672,57.41917647058824,232.48572058823527,36,20,56.2241,232.46839999999997,5.672,20.0,0.0,0.0056677621872551175
34,8.367382344385184,0,43,4217,40,2958.0,0.059160000000000004,57.305165714285714,232.48567999999997,36,20,53.42880000000001,232.4843,5.916,20.0,0.0,0.004911721925919681
35,8.464991639432636,0,43,4339,40,3080.0,0.0616,57.19845000000001,232.48559444444442,36,20,53.4634,232.4826,6.16,20.0,0.0,0.004958197163181652
36,8.56253360567889,0,43,4461,40,3202.0,0.06404,57.0723945945946,232.485427027027,36,20,52.534400000000005,232.4794,6.404,20.0,0.0,0.004668028394446272
37,8.59714979594794,2,43,4586,40,3219.0,0.06437999999999999,56.84008684210527,232.48491578947366,38,20,48.2447,232.46599999999995,6.438,20.0,0.21018,0.004658979739701023
38,8.642582532852565,1,43,4710,40,3289.0,0.06578,56.63184871794873,232.48471025641024,39,20,48.7188,232.47690000000003,6.578,20.0,0.10436999999999999,0.004727664262825383
39,8.73146285863644,0,43,4834,40,3413.0,0.06826,56.62957500000001,232.48446249999998,39,20,56.5409,232.47480000000002,6.826,20.0,0.0,0.005314293182209794
40,8.830650431639492,0,43,4958,40,3537.0,0.07074,56.56056341463415,232.48473902439022,39,20,53.80010000000001,232.49579999999997,7.074,20.0,0.0,0.005252158197467469
41,8.930191037397249,0,43,5082,40,3661.0,0.07322000000000001,56.566721428571434,232.48491428571427,39,20,56.81919999999999,232.4921,7.322,20.0,0.0,0.006955186986239126
42,9.02921363726325,0,43,5206,40,3785.0,0.0757,56.76513488372094,232.48508372093022,39,20,65.0985,232.4922,7.57,20.0,0.0,0.006068186316247442
43,9.000688090402242,2,43,5329,40,3723.0,0.07446,56.79822045454546,232.48519772727275,41,20,58.22089999999999,232.49010000000004,7.446,20.0,0.20911000000000002,0.006885452011208426
44,9.077815155516562,0,43,5452,40,3846.0,0.07692,56.552046666666676,232.48472222222222,41,20,45.7204,232.4638,7.692,20.0,0.0,0.005075777582807382
45,9.176057899034006,0,43,5575,40,3969.0,0.07937999999999999,56.1825043478261,232.4838956521739,41,20,39.55310000000001,232.44670000000002,7.938,20.0,0.0,0.004289495170033716
46,9.274791248214243,0,43,5698,40,4092.0,0.08184,56.26702127659575,232.4831170212766,41,20,60.1548,232.44729999999998,8.184,20.0,0.0,0.005956241071215735
47,9.373179184892884,0,43,5821,40,4215.0,0.0843,56.34134375,232.48258958333335,41,20,59.83449999999999,232.45779999999996,8.43,20.0,0.0,0.005895924464419953
48,9.303670382908184,2,43,5941,40,4102.0,0.08204,56.319973469387755,232.4822285714286,43,20,55.294200000000004,232.4649,8.204,20.0,0.20995,0.00537691454091749
49,9.378985437222948,0,43,6061,40,4222.0,0.08444000000000002,56.418822,232.48195800000002,43,20,61.262400000000014,232.46869999999998,8.444,20.0,0.0,0.006927186114734009
50,9.374591035944865,4,43,6188,39,4165.0,0.0833,56.65918235294118,232.48184705882355,47,20,68.6772,232.47629999999998,8.33,20.0,0.4148502,0.005530079724326114
51,9.43485378667652,0,43,6315,39,4292.0,0.08584,56.72708653846154,232.48155769230772,47,20,60.19019999999999,232.4668,8.584,20.0,0.0,0.006268933382602339
52,9.536203789211902,0,43,6442,39,4419.0,0.08837999999999999,56.77667358490566,232.4813566037736,47,20,59.35520000000001,232.47089999999997,8.838,20.0,0.0,0.00501894605950667
53,9.637640564305997,0,43,6569,39,4546.0,0.09092,56.67682037037037,232.48121481481485,47,20,51.38460000000001,232.4737,9.092,20.0,0.0,0.004202821529975237
54,9.650261627395313,1,43,6695,38,4548.0,0.09096,56.85818727272727,232.4812363636364,48,20,66.652,232.4824,9.096,20.0,0.10522999999999999,0.006693136976565057
55,9.409962239395217,4,43,6820,38,4209.0,0.08417999999999999,56.8631125,232.48096250000003,52,20,57.134000000000015,232.4659,8.418,20.0,0.4196338,0.003994296976081231
56,9.468026944193413,0,43,6945,38,4334.0,0.08668,56.85672105263158,232.48070000000004,52,20,56.4988,232.46600000000004,8.668,20.0,0.0,0.00413472096706579
57,9.56479219199238,4,43,7070,37,4402.0,0.08804000000000001,56.799487931034484,232.48052413793107,56,20,53.5372,232.4705,8.804,20.0,0.41920999999999997,0.0063559599618999455
58,9.14402853884488,5,43,7190,37,3863.0,0.07726,56.753357627118646,232.48007796610173,61,20,54.0778,232.4542,7.726,20.0,0.52582,0.005232694224406067
