window_id,cost,migrations,attacker_count,cohabitation_time_cumulative,cohabitation_malicious_vm_count,server_total_risk,vm_average_risk,cpu_utilization_avg,memory_utilization_avg,migrations_cumulative,active_servers_count,cpu_utilization_instant,memory_utilization_instant,cluster_risk,power_consumption,migration_cost,resource_contention
0,1.9504848419161729,0,45,260,45,260.0,0.0052,98.14959999999999,465.1328,0,10,98.14959999999999,465.1328,0.52,5.0,0.0,1.2124242095808642
1,2.2002824905849305,0,45,520,45,520.0,0.0104,101.57639999999999,465.12889999999993,0,10,105.00319999999999,465.1249999999999,1.04,5.0,0.0,1.4214124529246523
2,2.4160518285496915,4,45,783,45,743.0,0.01486,104.98153333333333,465.0576666666666,4,10,111.79180000000001,464.9152,1.486,5.0,0.41873,1.3988941427484565
3,2.5432735532480173,0,45,1046,45,1006.0,0.02012,101.76729999999999,465.01699999999994,4,10,92.1246,464.895,2.012,5.0,0.0,1.1923677662400847
4,2.7733094517965355,0,45,1309,45,1269.0,0.02538,99.93252,464.98996,4,10,92.5934,464.8818,2.538,5.0,0.0,1.2905472589826774
5,3.0815558508603935,0,45,1572,45,1532.0,0.03064,101.36810000000001,464.97673333333336,4,10,108.546,464.9106,3.064,5.0,0.0,1.779779254301967
6,3.2969905094258647,1,45,1838,45,1780.0,0.0356,105.9252,464.97291428571424,5,10,133.2678,464.95,3.56,5.0,0.10522999999999999,1.8123375471293213
7,3.364319687573727,2,45,2103,45,1975.0,0.0395,106.991575,464.966075,7,10,114.4562,464.91819999999996,3.95,5.0,0.21044339999999997,1.316376737868634
8,3.653676640209352,0,45,2368,45,2240.0,0.044800000000000006,106.1092888888889,464.9574444444445,7,10,99.05099999999999,464.88839999999993,4.48,5.0,0.0,1.8083832010467589
9,3.872371000954012,0,45,2633,45,2505.0,0.0501,108.00034000000001,464.95218000000006,7,10,125.0198,464.9048000000001,5.01,5.0,0.0,1.8418550047700617
10,4.0191547509365435,0,45,2898,45,2770.0,0.0554,109.99216363636364,464.94645454545457,7,10,129.91039999999998,464.8892000000001,5.54,5.0,0.0,1.5157737546827155
11,4.107186208420864,4,45,3167,45,2887.0,0.05774,111.03166666666668,464.94038333333333,11,10,122.46619999999999,464.8736,5.774,5.0,0.41914,1.2783610421043206
12,4.276773698505147,0,45,3436,45,3156.0,0.06312000000000001,110.5549076923077,464.93350769230767,11,10,104.8338,464.851,6.312,5.0,0.0,1.259868492525733
