window_id,cost,migrations,attacker_count,cohabitation_time_cumulative,cohabitation_malicious_vm_count,server_total_risk,vm_average_risk,cpu_utilization_avg,memory_utilization_avg,migrations_cumulative,active_servers_count,cpu_utilization_instant,memory_utilization_instant,cluster_risk,power_consumption,migration_cost,resource_contention
0,60909.49570572632,0,48,126,48,126.0,0.5315856193502175,53.744400000000006,245.14639999999994,0,20,53.744400000000006,245.14639999999994,0.0,200000.0,0.0,9094.95705726316
1,61632.41196954295,0,48,252,48,252.0,0.4967011242142967,55.2706,245.14475,0,20,56.7968,245.1431,1656.0,200000.0,0.0,9700.119695429472
2,63408.275185870734,1,48,374,48,364.0,0.5037967266743973,57.64543333333334,245.1094333333333,1,20,62.3951,245.03879999999995,6624.0,200000.0,0.0,9342.956113696846
3,65540.09564171096,5,48,488,48,418.0,0.5157951792025127,56.2959,245.08894999999998,6,20,52.247299999999996,245.02750000000006,9736.0,200000.0,5257.302,5942.352417109472
4,65649.73021775536,4,48,596,48,446.0,0.5239812971160065,55.99522,245.07592,10,20,54.79250000000002,245.02380000000002,10984.0,200000.0,4198.814,4163.674177553686
5,65749.95305429075,3,48,700,48,475.0,0.5109105610685435,57.179083333333345,245.0699833333333,13,20,63.098400000000005,245.04029999999997,11877.0,200000.0,3155.3280000000004,3680.8745429073674
6,66047.46135301368,3,48,806,48,509.0,0.5028107698553125,59.18288571428572,245.0679428571428,16,20,71.20570000000001,245.05569999999997,12609.0,200000.0,3145.558,3747.4975301368418
7,66774.46199788632,3,48,914,48,554.0,0.5042430531536728,59.966575000000006,245.06449999999998,19,20,65.45240000000001,245.0404,14470.0,200000.0,3154.8,3555.019978863158
8,67286.1708421722,3,48,1025,48,593.0,0.5076907728835685,59.89145555555555,245.06057777777778,22,20,59.290499999999994,245.0292,15642.0,200000.0,3145.9,4001.908421722106
9,68104.36570677537,2,48,1131,41,630.0,0.5157944839406219,60.62202,245.05817000000002,24,20,67.19710000000002,245.0365,18916.0,200000.0,5242.002,3599.6308018168415
10,69619.97916145937,2,48,1230,40,664.0,0.5102306997811771,61.2552909090909,245.05511818181822,26,20,67.58800000000001,245.02459999999996,21881.0,200000.0,2094.1,4487.591614593684
11,70599.88279234484,3,48,1322,39,678.0,0.5102506102754946,62.152891666666655,245.05262500000003,29,20,72.0265,245.02519999999996,23964.0,200000.0,3144.378,3854.071923448421
12,71578.9102515621,3,48,1418,38,702.0,0.5073136122840913,62.252453846153834,245.04956153846157,32,20,63.447199999999995,245.01280000000006,25990.0,200000.0,3146.5,5536.1025156210535
13,72232.3461554798,2,48,1506,37,715.0,0.5065712833503022,62.47997857142856,245.04680000000002,34,20,65.43780000000001,245.01089999999994,28017.0,200000.0,2103.8999999999996,6047.661554797897
14,72640.18265099768,3,48,1589,36,714.0,0.5165746623414577,62.550933333333326,245.04508666666666,37,20,63.54430000000001,245.0211,28337.0,200000.0,3147.0,6759.826509976841
15,73338.17058948569,2,48,1670,35,726.0,0.48594876467911313,62.36631249999999,245.04465,39,20,59.597,245.03809999999993,29965.0,200000.0,2104.0,9313.705894856846
16,73420.96624483178,3,48,1756,36,754.0,0.4995872092750295,61.9287588235294,245.0432176470588,42,20,54.9279,245.02029999999996,31236.0,200000.0,3155.4039999999995,10618.51129985474
17,74103.09881909346,2,48,1839,35,767.0,0.5256860287684691,61.99153333333332,245.04217222222223,44,20,63.05869999999997,245.02439999999996,31636.0,200000.0,2102.8900000000003,10281.208190934736
18,74178.84224726906,3,48,1923,33,752.0,0.5131885906685536,61.75924210526315,245.04127894736843,47,20,57.57799999999999,245.02519999999998,33149.0,200000.0,2103.3,11865.743096858949
19,74879.15381360841,2,49,1998,33,752.0,0.5201223927096558,61.87205999999999,245.04113500000003,49,20,64.0156,245.03840000000005,32841.0,200000.0,2093.532,13240.474136084207
20,75149.96692685937,3,49,2076,32,730.0,0.49115224316951894,61.90474761904761,245.04100476190482,52,20,62.558499999999995,245.0384,35078.0,200000.0,2094.5,11398.671857898946
21,75414.6120129979,2,49,2145,31,717.0,0.4935895543079931,62.03493181818181,245.04040454545458,54,20,64.76880000000001,245.02779999999993,33978.0,200000.0,2094.458,14045.204129978942
22,75605.77101923368,3,49,2212,30,710.0,0.48797653026290466,61.98916956521739,245.04005652173916,57,20,60.982400000000005,245.03239999999997,34059.0,200000.0,3138.3459999999995,15758.845429136847
23,74728.58345893705,3,49,2277,29,701.0,0.5083227157525783,62.021375,245.04023333333336,60,20,62.76210000000001,245.04429999999994,30853.0,200000.0,3138.2999999999997,18773.124505665262
24,74776.86516097831,3,49,2345,26,685.0,0.49246399974467425,62.037772,245.040324,63,20,62.43130000000001,245.04249999999996,30815.0,200000.0,3153.2000000000003,22906.353275635796
25,74699.02088422548,1,49,2417,26,682.0,0.4940962938492954,62.03012307692307,245.04072307692306,64,20,61.83890000000001,245.05069999999995,30874.0,200000.0,1052.114,21389.980842254736
26,75249.27656177494,2,49,2477,24,658.0,0.5063550367473182,62.52975185185184,245.04144814814813,66,20,75.5201,245.06030000000004,30776.0,200000.0,2095.3,25198.165617749473
27,74962.9794590522,2,49,2539,24,640.0,0.5144011638318939,62.63554999999999,245.0424321428571,68,20,65.49210000000001,245.06899999999996,30290.0,200000.0,1051.508,26447.701110774746
28,74165.78258515685,3,49,2590,22,601.0,0.5286561130543602,62.102782758620684,245.04301379310343,71,20,47.1853,245.05929999999998,28312.0,200000.0,3146.642,22116.541851568425
29,73444.11953170212,2,49,2645,19,578.0,0.4977701738632731,62.38200333333332,245.04397666666665,73,20,70.47939999999997,245.0719,26309.0,200000.0,4198.616,28026.929080389466
30,72287.83628253285,3,50,2698,20,500.0,0.49060533622825253,62.62948387096773,245.04395483870965,76,20,70.05389999999998,245.0432999999999,23501.0,200000.0,4207.924000000001,29487.201768570532
31,71338.53129252211,4,50,2749,18,458.0,0.5022378030261223,62.91489999999999,245.04373124999998,80,20,71.7628,245.03679999999994,17907.0,200000.0,4207.900000000001,33341.51292522106
32,70145.87113059516,3,50,2807,19,461.0,0.5084572854576177,62.55691212121211,245.04378484848485,83,20,51.101299999999995,245.04550000000003,16978.0,200000.0,2095.702,31881.573117825275
33,68574.63459168379,3,50,2882,35,398.0,0.5011837501322474,62.615988235294104,245.04426764705883,86,20,64.5655,245.06019999999998,15807.0,200000.0,2095.7,35323.499492248426
34,68549.64799096105,2,50,2960,35,420.0,0.5102823944345036,62.50379428571427,245.04541142857144,88,20,58.68920000000001,245.08429999999993,12110.0,200000.0,2102.9,33602.11658834738
35,68458.7393617061,2,50,3024,33,412.0,0.5236469839534351,62.441127777777766,245.0464388888889,90,20,60.2478,245.0824,12680.0,200000.0,2102.9,29661.593617061055
36,68967.77668440295,3,50,3083,31,407.0,0.5068128361692874,62.34845675675674,245.04732972972974,93,20,59.01230000000002,245.0794,13580.0,200000.0,3148.0,29061.766844029466
37,67909.09263209095,3,50,3130,12,374.0,0.5063594060284068,62.26671315789472,245.0478210526316,96,20,59.242200000000004,245.06599999999995,15505.0,200000.0,5241.704,16884.581104319997
38,67535.54477107727,2,50,3163,10,346.0,0.47508163166755557,62.380489743589735,245.0485666666667,98,20,66.70400000000001,245.07690000000002,11391.0,200000.0,2103.096,25585.255710772635
39,67045.38226428315,1,50,3193,9,322.0,0.5188414758257138,62.40005749999999,245.04936000000004,99,20,63.1632,245.0803,10468.0,200000.0,1051.5,26478.822642831572
40,66847.34111993432,1,50,3221,8,300.0,0.5212827708952983,62.276397560975596,245.0506243902439,100,20,57.329999999999984,245.1012,9926.0,200000.0,1052.2,26665.011199343156
41,66847.2661189202,1,50,3242,7,272.0,0.5083704650274692,62.21605714285713,245.05168809523812,101,20,59.74209999999999,245.09530000000004,9559.0,200000.0,1043.0,28150.66118920211
42,66875.9059611659,1,50,3268,7,248.0,0.524683596054065,62.43197441860464,245.05286279069767,102,20,71.5005,245.10219999999998,8630.0,200000.0,1051.48,32136.099611658963
43,64965.34656794246,3,50,3301,8,281.0,0.5058254848939789,62.57774055023922,245.347025,105,19,68.84568421052631,257.996,7819.0,200000.0,1043.8,31653.988364202116
44,64646.89544918502,2,50,3324,6,248.0,0.48138630410516087,62.38149134502923,245.6275074853801,107,19,53.74652631578948,257.9687368421053,9603.0,190000.0,2102.9,33851.15449185027
45,63328.566651126086,1,50,3345,6,206.0,0.5121971386423684,62.002152288329505,245.8952664759725,108,19,44.931894736842104,257.9444210526315,7395.0,190000.0,1043.8,31618.06651126082
46,63168.9135825717,3,50,3376,8,192.0,0.5047650447791411,62.180834378499426,246.15163370660693,111,19,70.40021052631579,257.9445263157895,5911.0,190000.0,1051.5,36144.83228269477
47,62251.26990271532,2,50,3411,12,150.0,0.5000804194894051,62.29979506578946,246.39754923245616,113,19,67.89094736842105,257.9555789473684,4919.0,190000.0,1051.5,31223.735909997653
48,61481.87029552234,1,50,3445,12,153.0,0.502603660880581,62.28097432867883,246.6335799140709,114,19,61.377578947368434,257.9630526315789,2735.0,190000.0,2103.7,32840.1114983345
49,61185.84047877802,1,50,3470,11,122.0,0.5067176678817196,62.45452957894736,246.86024936842105,115,19,70.95873684210525,257.967052631579,1905.0,190000.0,1051.402,32135.60078778013
50,58841.319089753204,3,50,3507,13,143.0,0.5275307256158344,62.76492224515536,247.35928151588124,118,18,78.28455555555553,272.3108888888889,2854.0,190000.0,0.0,32248.886697080703
51,58579.29939236862,1,50,3546,13,147.0,0.5010644682220206,63.04023143274853,247.83893208502028,119,18,77.08099999999999,272.30111111111114,2664.0,180000.0,1051.4,33034.19392368628
52,58889.79205177412,1,50,3580,12,146.0,0.508125619711429,63.356617003199815,248.30051198278719,120,18,79.80866666666667,272.3026666666667,2902.0,180000.0,1043.8,35202.32051774118
53,58732.73776161647,2,50,3605,11,129.0,0.48259308291438446,63.31469199696772,248.74506423001952,122,18,61.09266666666667,272.3063333333333,2920.0,180000.0,2102.8,31441.7776161647
54,58715.397715717125,2,50,3625,5,107.0,0.5174788449403871,63.622935980861236,249.1736024561404,124,18,80.26811111111112,272.31466666666665,3999.0,180000.0,0.0,32416.792176088893
55,58729.01734885334,1,51,3654,7,136.0,0.5180030224773354,63.904966885964896,249.58655399958232,125,18,79.41666666666669,272.2988888888888,3277.0,180000.0,0.0,35169.25627422744
56,59005.85989610771,2,51,3665,5,92.0,0.5031496035800445,64.19354251564583,249.9850511029035,127,18,80.3537777777778,272.30088888888884,2405.0,180000.0,2102.8,36232.99896107712
57,58794.638183133335,0,51,3676,5,103.0,0.5278273462132471,64.1851423573301,250.36980117967335,127,18,63.70633333333334,272.30055555555555,2992.0,180000.0,0.0,35978.38183133333
58,58906.25398964262,1,51,3699,17,88.0,0.5126082537803605,64.18424917236594,250.74136198830413,128,18,64.13244444444443,272.29188888888893,3669.0,180000.0,0.0,35862.74054583791
59,58510.152223204175,2,51,3726,17,88.0,0.5118829057046167,64.13054131578946,251.10084669590648,130,18,60.96177777777778,272.31044444444444,1096.0,180000.0,2104.3,37738.981033924174
60,58276.66037651922,2,51,3752,16,74.0,0.4910265360847263,64.11025375323554,251.44838837120128,132,18,62.89300000000003,272.30088888888884,1160.0,180000.0,2103.6000000000004,33919.40376519216
61,58133.561421772814,1,51,3784,22,67.0,0.5115152754576107,64.28773173929446,251.78487493869088,133,18,75.1138888888889,272.31055555555554,2278.0,180000.0,0.0,35193.5015777281
62,58212.523720829806,0,51,3816,22,99.0,0.4713246972047149,64.27451377517868,252.11062471920548,133,18,63.455000000000005,272.3071111111111,1585.0,180000.0,0.0,35785.23720829803
63,58610.2366554434,5,51,3855,19,128.0,0.5042384034272098,64.23914810855263,252.425991694079,138,18,62.0111111111111,272.2941111111111,2669.0,180000.0,5258.426,24909.514554433987
64,58435.4732324034,1,51,3906,19,160.0,0.5037533861701613,64.20855950517318,252.7316516509222,139,18,62.250888888888916,272.2938888888889,4578.0,180000.0,0.0,26264.117599704576
65,58702.88507272497,3,51,3957,33,153.0,0.5092755951130242,64.33965035442141,253.02823437001598,142,18,72.86055555555558,272.3061111111111,4787.0,180000.0,5249.099999999999,22947.33280856732
66,57856.55159902353,1,51,3998,32,139.0,0.5323962824514946,64.47415806057431,253.31575823514015,143,18,73.35166666666667,272.2923333333333,2058.0,180000.0,1051.4,28230.7159902353
67,58374.93724567164,1,51,4030,23,143.0,0.5097646101790836,64.47836978844168,253.59460492776063,144,18,64.76055555555556,272.2773333333332,3114.0,180000.0,5232.450000000001,23184.126608716342
68,58761.68127989281,1,51,4066,23,175.0,0.49541758327046137,64.58094252902788,253.86537554877535,145,18,71.55588888888889,272.27777777777777,3575.0,180000.0,5249.5,23477.472349233984
69,58136.06736493987,3,51,4109,24,152.0,0.519619536338436,64.37731319131161,254.1287670091897,148,18,50.32688888888888,272.3027777777778,4762.0,180000.0,5231.002,22157.747696928105
70,58112.92732962039,2,51,4151,24,152.0,0.5099623256856296,64.52528061115228,254.38475307635292,150,18,74.883,272.3037777777778,2772.0,180000.0,2103.6,26963.781844533336
71,58203.18977482353,2,51,4194,23,150.0,0.4776125107299885,64.7488276397011,254.63415002436653,152,18,80.62066666666665,272.3413333333333,2733.0,180000.0,2103.8999999999996,26892.097748235294
72,58230.777287955294,2,51,4234,22,162.0,0.5039438901684283,64.71630032043579,254.87766851718345,154,18,62.37433333333335,272.411,2847.0,180000.0,2095.8999999999996,27534.88953762353
73,58799.0907663898,1,51,4275,22,199.0,0.5077442783561434,64.71418364943891,255.11384566935365,155,18,64.55966666666669,272.3547777777778,5212.0,180000.0,0.0,28519.51268112157
74,58876.748191919476,3,51,4307,10,171.0,0.5223543137957666,64.74849823781676,255.34322846783635,158,18,67.28777777777778,272.3175555555556,5224.0,180000.0,5258.9,23116.284630535945
75,58229.307534610976,1,51,4332,10,151.0,0.5224481618353596,64.71035133117883,255.5668979763005,159,18,61.84933333333336,272.34211111111114,4078.0,180000.0,1052.198,23876.67934610981
76,55697.85960545295,3,51,4354,10,136.0,0.5231907792110885,64.54400452244694,255.99255781923628,162,17,51.90164705882354,288.342705882353,5475.0,180000.0,0.0,22919.067286449677
77,55778.51442890941,1,51,4381,10,153.0,0.5200984624859266,64.88180235285297,256.4074330206488,163,17,90.89223529411763,288.3528235294118,5518.0,170000.0,0.0,27819.134521094118
78,55603.13414167177,2,51,4407,10,145.0,0.4983601538817183,65.0650706775004,256.8117291030382,165,17,79.36000000000001,288.3468235294117,6077.0,170000.0,0.0,25764.427039717648
79,54994.857201452935,2,51,4436,13,123.0,0.5060271238388478,65.08107347050223,257.205856018662,167,17,66.34529411764707,288.3418823529412,5139.0,170000.0,0.0,25004.792526329416
80,53076.406640432666,3,51,4466,14,148.0,0.4964844591540084,65.42774077333554,257.8129534752217,170,16,93.16112499999997,306.38075000000003,1869.0,170000.0,1051.8,29424.13535029412
81,52328.330041492336,1,51,4492,13,128.0,0.5175970374504153,65.68154576390461,258.40487629869466,171,16,86.23975000000002,306.35062500000004,2702.0,160000.0,1051.8,30371.700414923336
82,52217.52360904134,1,51,4510,12,110.0,0.5213741925105995,65.81528015229131,258.9823988734092,172,16,76.7815,306.33925,2856.0,160000.0,1052.2,28646.83609041334
83,52415.08272760966,0,51,4528,12,128.0,0.5220417407087932,65.92185419809736,259.54620216063046,172,16,74.76749999999998,306.341875,4038.0,160000.0,0.0,27998.827276096665
84,53008.239220548,0,51,4546,12,146.0,0.4954393937367216,66.0653412075315,260.0968791940348,172,16,78.11824999999999,306.35375,5464.0,160000.0,0.0,28226.392205480013
85,53144.702647175,1,51,4562,12,134.0,0.5093378382589183,66.17061340279275,260.63469600573205,173,16,75.11874999999999,306.349125,7134.0,160000.0,0.0,27444.794579696667
86,53585.266419865,1,51,4577,11,142.0,0.5124615337953509,66.27712790391008,261.16026415509145,174,16,75.437375,306.35912500000006,6948.0,160000.0,0.0,29656.472228089995
