window_id,cost,migrations,attacker_count,cohabitation_time_cumulative,cohabitation_malicious_vm_count,server_total_risk,vm_average_risk,cpu_utilization_avg,memory_utilization_avg,migrations_cumulative,active_servers_count,cpu_utilization_instant,memory_utilization_instant,cluster_risk,power_consumption,migration_cost,resource_contention
0,120355.7705379165,0,48,126,48,126.0,0.5315856193502175,53.744400000000006,245.14639999999994,0,20,53.744400000000006,245.14639999999994,0.0,400000.0,0.0,1778.8526895824846
1,121139.01317623,0,48,252,48,252.0,0.4967011242142967,55.2706,245.14475,0,20,56.7968,245.1431,1656.0,400000.0,0.0,2383.0658811500625
2,122785.12267404055,4,48,373,48,347.0,0.5037967266743973,57.64543333333334,245.1094333333333,4,20,62.3951,245.03879999999995,5116.0,400000.0,4203.599999999999,1591.8133702027799
3,124257.04245232127,5,48,495,48,418.0,0.5157951792025127,56.2959,245.08894999999998,9,20,52.24730000000001,245.0275,8618.0,400000.0,5251.242,1423.5912616063158
4,125944.60160805756,5,48,617,48,491.0,0.5239812971160065,55.99522,245.07591999999994,14,20,54.792500000000004,245.02379999999994,12887.0,400000.0,5242.782000000001,1327.6170402878315
5,127872.21439910388,5,49,740,49,563.0,0.5109105610685435,57.17908333333333,245.0699833333333,19,20,63.09839999999999,245.04030000000003,17686.0,400000.0,5242.599999999999,1367.7719955194107
6,124264.22206399986,4,49,870,49,642.0,0.5028107698553125,59.718266917293235,246.9104669172932,23,19,74.95336842105264,257.95336842105263,23840.0,380000.0,4193.258,1544.4813199992511
7,126655.03599835318,3,49,999,49,707.0,0.5042430531536728,60.86564144736842,248.2888164473684,26,19,68.89726315789474,257.9372631578948,29842.0,380000.0,3144.412,2018.9739917658944
8,129791.96400596263,5,49,1132,48,777.0,0.5076907728835685,61.03735380116959,249.35955614035083,31,19,62.41105263157893,257.92547368421054,37314.0,380000.0,5246.5,1708.5700298131462
9,130178.37281129464,2,50,1274,50,901.0,0.5157944839406219,62.39996286549708,251.64987830409353,33,18,74.66344444444445,272.2627777777777,53737.0,360000.0,2102.5060000000003,2366.611056473203
10,133332.72758069768,5,50,1416,50,940.0,0.5102306997811771,63.55430967570442,253.52257623604464,38,18,75.09777777777778,272.2495555555555,60844.0,360000.0,5246.500000000001,2352.3879034884194
11,133579.17262001993,5,50,1556,50,956.0,0.5102506102754946,64.92723757309942,255.08321340155945,43,18,80.02944444444444,272.2502222222222,61668.0,360000.0,5237.599999999999,1941.063100099555
12,130421.84199897281,5,50,1693,50,896.0,0.5073136122840913,65.3556722896986,256.4026927125506,48,18,70.4968888888889,272.2364444444445,53437.0,360000.0,5259.022,2605.6989948641035
13,133592.4179873052,3,50,1835,50,974.0,0.5065712833503022,65.88088617376775,257.5335241854637,51,18,72.70866666666669,272.2343333333333,62126.0,360000.0,3147.7,2136.2399365261176
14,137285.44572784612,5,50,1972,49,946.0,0.5165746623414577,65.94807621832358,257.5590857309942,56,19,66.88873684210525,257.916947368421,55957.0,380000.0,5247.407999999999,1889.5246392306897
15,135684.842053135,4,50,2101,49,921.0,0.48594876467911313,65.74717671783625,257.58257050438596,60,19,62.73368421052634,257.93484210526316,51560.0,380000.0,4181.5,3213.4602656750412
16,135396.68859143413,5,51,2233,50,930.0,0.4995872092750295,65.28080409356726,257.6021901960784,65,19,57.81884210526316,257.9161052631579,51068.0,380000.0,5238.708,2228.088957170525
17,139842.8366634835,5,51,2362,50,975.0,0.5256860287684691,65.34173602988955,257.61986968810913,70,19,66.37757894736842,257.92042105263164,61876.0,380000.0,5247.01,2838.678317417544
18,143751.42100811488,4,51,2480,50,975.0,0.5131885906685536,65.09261418898123,257.6357325023084,74,19,60.60842105263158,257.9212631578947,72291.0,380000.0,4203.4,2073.4050405745033
19,142499.4162702064,5,51,2616,50,985.0,0.5201223927096558,65.20722558479534,257.65070377192984,79,19,67.38484210526317,257.93515789473685,68535.0,380000.0,5244.032,2805.0653510319535
20,146205.06944628927,2,51,2764,51,1114.0,0.49115224316951894,65.41209314954052,258.3466173489279,81,18,69.50944444444444,272.26488888888895,93152.0,360000.0,2103.612,3669.541231446379
21,145437.79278043908,5,51,2921,46,1077.0,0.4935895543079931,65.70996770334929,258.9787307017544,86,18,71.96533333333335,272.253111111111,91036.0,360000.0,5243.299999999999,2495.3139021954507
22,149538.2782727026,5,51,3088,46,1076.0,0.48797653026290466,65.79902224764811,259.55609989829645,91,18,67.75822222222222,272.2582222222222,101069.0,360000.0,5245.018,2930.882363512889
23,152746.23879214135,5,51,3248,50,1050.0,0.5083227157525783,65.8101200048733,259.48881942007796,96,19,66.06536842105263,257.94136842105263,94200.0,380000.0,5252.26,2705.0639607068074
24,150569.58715180805,5,51,3404,49,1025.0,0.49246399974467425,65.95243964912282,260.00004442105256,101,18,69.36811111111112,272.2694444444444,103723.0,360000.0,5249.2,2777.3357590401047
25,152053.11226630025,4,51,3553,49,1065.0,0.4940962938492954,66.05849538911382,260.4722948493027,105,18,68.70988888888888,272.2785555555555,107392.0,360000.0,4196.6,3383.261331501282
26,148091.14295131512,2,51,3703,49,1084.0,0.5063550367473182,66.71970749404376,260.9099588260775,107,18,83.9112222222222,272.28922222222224,98024.0,360000.0,2104.5,3355.4647565754776
27,149345.78033748406,5,51,3874,49,1172.0,0.5144011638318939,67.08862970539094,261.88876281758314,112,17,77.04952941176471,288.31647058823523,115839.0,340000.0,5243.684,2429.0596874202356
28,149495.8282161463,5,51,4042,49,1128.0,0.5286561130543602,66.68943963441397,262.79966957640886,117,17,55.51211764705884,288.3050588235294,116496.0,340000.0,5255.5,1859.3910807315292
